"EMPRESA,STAND",Status,Nome 1,Linkedin 1,Nome 2,Linkedin 2
"OXY CÂMARAS,E-70",Sim,Patrícia Siqueira,https://www.linkedin.com/in/patr%C3%ADcia-siqueira-vancsek-7a5b09aa/,,
"Abimo,J-40 | K-56",,,,,
"Medix Brasil,E-180",,,,,
"Belgotex do Brasil,G-103",,,,,
"BSZ Cirúrgica,C-179",,,,,
"Duosystem,D-89",,,,,
"FAMI Tecnologia Médica,J-14",,Daniel,https://www.linkedin.com/in/daniel-armentano/,Alexandre,https://www.linkedin.com/in/alexandre-nardi-bb196233/
"GLOBALTHINGS,C-80",,,,,
"GRUPO LEMOS & ANDRADE,C-169",,,,,
"GVS DO BRASIL LTDA,C-189",,Carlos,https://www.linkedin.com/in/carlos-henrique-alvarez-6419709/,,
"IMPOL,D-159",,,,,
"Mamute Equipamentos,G-59",,,,,
"Maxicor Produtos Médicos,E-189",,Hamilton,https://www.linkedin.com/company/maxicor-produtos-medicos/people/,,
"MSC MED,D-199",,,,,
"NIAZI CHOHFI,G-96",,,,,
"OSTEOMED,D-161",,Nidersani,https://www.linkedin.com/in/nidersani-ragonha-123b24111/,,
"RICHARD WOLF,H-38",,,,,
"RWR EQUIPAMENTOS HOSPITALARES,D-29",,,,,
"SDORF SCIENTIFIC,D-181",,,,,
"SUPERMEDY,E-121",,Albert K,https://www.linkedin.com/company/supermedy-imp-exp/people/?keywords=diretor,,
"UNITED MEDICAL INC,D-82",,,,,
"ALPHA AI,H-190a",,,,,
"ATRASORB,J-40e",,,,,
"ATS MEDICAL,H-145",,,,,
"Aygun,J-38",,,,,
"BIOMETAL,H-161",,,,,
"ELOMED,A-66",Sim,,,,
"FISHER & PAYKEL HEALTHCARE,C-49",Sim,Claudia Selestrin,https://www.linkedin.com/in/claudia-selestrin/,,
"Innovex,G-163",Intern,,,,
"Kinetic,G-320h",,,,,
"RF MEDICAL,G-180e",Intern procurar,,,,
"SCiTec,D-199",,,,,
"SEPLOU Medical,H-117",Não,,,,
"SHMEDIC,F-114",Não,,,,
"SICFLUX,A-35",,,,,
"Terra nova Logística LTDA,H-68",,,,,
"TWB Plásticos,G-100",,,,,
"WELL LEAD MEDICAL CO LTD,SEM STAND",,,,,
"WELLON,B-112",,,,,
